Name,Web_link,No_of_reviews,Ranking,No_of_bookingoptions
Triumphal Way (Voie Triomphale),https://www.tripadvisor.com/Attraction_Review-g187147-d246752-Reviews-Triumphal_Way_Voie_Triomphale-Paris_Ile_de_France.html,244 reviews,#59 of 576 Sights & Landmarks in Paris,
Tour Saint-Jacques,https://www.tripadvisor.com/Attraction_Review-g187147-d3406006-Reviews-Tour_Saint_Jacques-Paris_Ile_de_France.html,282 reviews,#60 of 576 Sights & Landmarks in Paris,3 booking options
Conciergerie,https://www.tripadvisor.com/Attraction_Review-g187147-d190683-Reviews-Conciergerie-Paris_Ile_de_France.html,"1,612 reviews",#61 of 576 Sights & Landmarks in Paris,27 booking options
Place du Tertre,https://www.tripadvisor.com/Attraction_Review-g187147-d190982-Reviews-Place_du_Tertre-Paris_Ile_de_France.html,903 reviews,#62 of 576 Sights & Landmarks in Paris,17 booking options
Boulevard St. Germain,https://www.tripadvisor.com/Attraction_Review-g187147-d194242-Reviews-Boulevard_St_Germain-Paris_Ile_de_France.html,367 reviews,#67 of 576 Sights & Landmarks in Paris,3 booking options
Memorial des Martyrs de la Deportation,https://www.tripadvisor.com/Attraction_Review-g187147-d190975-Reviews-Memorial_des_Martyrs_de_la_Deportation-Paris_Ile_de_France.html,272 reviews,#69 of 576 Sights & Landmarks in Paris,
Harry's New York Bar,https://www.tripadvisor.com/Attraction_Review-g187147-d188706-Reviews-Harry_s_New_York_Bar-Paris_Ile_de_France.html,341 reviews,#70 of 576 Sights & Landmarks in Paris,
Place de la Bastille,https://www.tripadvisor.com/Attraction_Review-g187147-d188456-Reviews-Place_de_la_Bastille-Paris_Ile_de_France.html,"1,296 reviews",#73 of 576 Sights & Landmarks in Paris,16 booking options
Place des Abbesses,https://www.tripadvisor.com/Attraction_Review-g187147-d246744-Reviews-Place_des_Abbesses-Paris_Ile_de_France.html,247 reviews,#75 of 576 Sights & Landmarks in Paris,2 booking options
Place de la Republique,https://www.tripadvisor.com/Attraction_Review-g187147-d7154828-Reviews-Place_de_la_Republique-Paris_Ile_de_France.html,261 reviews,#77 of 576 Sights & Landmarks in Paris,
Place Dauphine,https://www.tripadvisor.com/Attraction_Review-g187147-d314455-Reviews-Place_Dauphine-Paris_Ile_de_France.html,194 reviews,#80 of 576 Sights & Landmarks in Paris,6 booking options
Gare St. Lazare,https://www.tripadvisor.com/Attraction_Review-g187147-d191145-Reviews-Gare_St_Lazare-Paris_Ile_de_France.html,260 reviews,#82 of 576 Sights & Landmarks in Paris,1 booking option
Musee d'Art et d'Histoire du Judaisme,https://www.tripadvisor.com/Attraction_Review-g187147-d318592-Reviews-Musee_d_Art_et_d_Histoire_du_Judaisme-Paris_Ile_de_France.html,240 reviews,#83 of 576 Sights & Landmarks in Paris,1 booking option
Avenue Montaigne,https://www.tripadvisor.com/Attraction_Review-g187147-d189188-Reviews-Avenue_Montaigne-Paris_Ile_de_France.html,146 reviews,#89 of 576 Sights & Landmarks in Paris,1 booking option
Palais de justice de Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d2162615-Reviews-Palais_de_justice_de_Paris-Paris_Ile_de_France.html,177 reviews,#92 of 576 Sights & Landmarks in Paris,6 booking options
Le Quartier de la Butte Aux Cailles a Paris,https://www.tripadvisor.com/Attraction_Review-g187147-d5510160-Reviews-Le_Quartier_de_la_Butte_Aux_Cailles_a_Paris-Paris_Ile_de_France.html,120 reviews,#93 of 576 Sights & Landmarks in Paris,2 booking options
59 Rue de Rivoli,https://www.tripadvisor.com/Attraction_Review-g187147-d4757867-Reviews-59_Rue_de_Rivoli-Paris_Ile_de_France.html,92 reviews,#94 of 576 Sights & Landmarks in Paris,
Square du Vert-Galant,https://www.tripadvisor.com/Attraction_Review-g187147-d549374-Reviews-Square_du_Vert_Galant-Paris_Ile_de_France.html,134 reviews,#96 of 576 Sights & Landmarks in Paris,
Big Wheel on Place de la Concorde,https://www.tripadvisor.com/Attraction_Review-g187147-d10426937-Reviews-Big_Wheel_on_Place_de_la_Concorde-Paris_Ile_de_France.html,223 reviews,#99 of 576 Sights & Landmarks in Paris,
Paris Gare de Lyon,https://www.tripadvisor.com/Attraction_Review-g187147-d8763336-Reviews-Paris_Gare_de_Lyon-Paris_Ile_de_France.html,211 reviews,#103 of 576 Sights & Landmarks in Paris,1 booking option
Ecole Militaire,https://www.tripadvisor.com/Attraction_Review-g187147-d246224-Reviews-Ecole_Militaire-Paris_Ile_de_France.html,156 reviews,#105 of 576 Sights & Landmarks in Paris,8 booking options
Arenes de Lutece,https://www.tripadvisor.com/Attraction_Review-g187147-d209782-Reviews-Arenes_de_Lutece-Paris_Ile_de_France.html,243 reviews,#107 of 576 Sights & Landmarks in Paris,3 booking options
Menagerie du Jardin des Plantes,https://www.tripadvisor.com/Attraction_Review-g187147-d189240-Reviews-Menagerie_du_Jardin_des_Plantes-Paris_Ile_de_France.html,417 reviews,#110 of 576 Sights & Landmarks in Paris,
Rue Saint Louis en l'Ile,https://www.tripadvisor.com/Attraction_Review-g187147-d194312-Reviews-Rue_Saint_Louis_en_l_Ile-Paris_Ile_de_France.html,107 reviews,#115 of 576 Sights & Landmarks in Paris,
Square Jean XXIII,https://www.tripadvisor.com/Attraction_Review-g187147-d6924531-Reviews-Square_Jean_XXIII-Paris_Ile_de_France.html,77 reviews,#116 of 576 Sights & Landmarks in Paris,
St. Sulpice Fountain,https://www.tripadvisor.com/Attraction_Review-g187147-d194194-Reviews-St_Sulpice_Fountain-Paris_Ile_de_France.html,103 reviews,#117 of 576 Sights & Landmarks in Paris,
Viaduc des Arts,https://www.tripadvisor.com/Attraction_Review-g187147-d188465-Reviews-Viaduc_des_Arts-Paris_Ile_de_France.html,114 reviews,#120 of 576 Sights & Landmarks in Paris,1 booking option
Rue du Faubourg Saint-Honore,https://www.tripadvisor.com/Attraction_Review-g187147-d189187-Reviews-Rue_du_Faubourg_Saint_Honore-Paris_Ile_de_France.html,121 reviews,#121 of 576 Sights & Landmarks in Paris,2 booking options
Gare de Paris-Est,https://www.tripadvisor.com/Attraction_Review-g187147-d8763218-Reviews-Gare_de_Paris_Est-Paris_Ile_de_France.html,87 reviews,#124 of 576 Sights & Landmarks in Paris,
Pont de l'Alma,https://www.tripadvisor.com/Attraction_Review-g187147-d7281406-Reviews-Pont_de_l_Alma-Paris_Ile_de_France.html,108 reviews,#125 of 576 Sights & Landmarks in Paris,3 booking options
Rue Lepic,https://www.tripadvisor.com/Attraction_Review-g187147-d2279495-Reviews-Rue_Lepic-Paris_Ile_de_France.html,118 reviews,#126 of 576 Sights & Landmarks in Paris,
Quai d'Orsay,https://www.tripadvisor.com/Attraction_Review-g187147-d644725-Reviews-Quai_d_Orsay-Paris_Ile_de_France.html,101 reviews,#127 of 576 Sights & Landmarks in Paris,
Rue de la Huchette,https://www.tripadvisor.com/Attraction_Review-g187147-d1456178-Reviews-Rue_de_la_Huchette-Paris_Ile_de_France.html,162 reviews,#136 of 576 Sights & Landmarks in Paris,
