Airline_Name,Stops,departure,arrival,arrival_time,Flight_duration,No_of_stops,return_departure,return_arrival,return_duration,flight_Score,Cheapest_Price,Cheapest_Website
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.3,$567 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.3,$567 ,United
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 12:25 PM,BOS 11:30 PM,17h 5m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,1 stop,CDG 9:45 AM,BOS 5:00 PM,13h 15m,FlyScore: 7.3,$567 ,United
,,,,,,,,,,,,
,,,,,,,,,,,,
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 9:45 AM,BOS 7:30 PM,15h 45m,FlyScore: 7.3,$567 ,United
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 9:45 AM,BOS 9:22 PM,17h 37m,FlyScore: 7.2,$567 ,United
,2 stops,,,11:30 AM,16h 30m,2 stops,,,4h 55m,,,
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,1 stop,CDG 9:45 AM,BOS 5:00 PM,13h 15m,FlyScore: 7.3,$567 ,United
,,,,,,,,,,,,
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,1 stop,CDG 9:45 AM,BOS 6:00 PM,14h 15m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.2,$567 ,United
,,,,,,,,,,,,
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,1 stop,CDG 9:45 AM,BOS 6:00 PM,14h 15m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 12:25 PM,BOS 11:30 PM,17h 5m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 2:16 PM,CDG,6:55 AM,10h 39m,1 stop,CDG 9:45 AM,BOS 10:59 PM,19h 14m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 9:45 AM,BOS 9:22 PM,17h 37m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,1 stop,CDG 9:45 AM,BOS 7:30 PM,15h 45m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,1 stop,CDG 9:45 AM,BOS 5:00 PM,13h 15m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,1 stop,CDG 9:45 AM,BOS 7:30 PM,15h 45m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.1,$567 ,United
,,,,,,,,,,,,
,,,,,,,,,,,,
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.1,$567 ,United
,2 stops,,,11:30 AM,16h 30m,2 stops,,,4h 55m,,,
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,1 stop,CDG 9:45 AM,BOS 6:00 PM,14h 15m,FlyScore: 7.1,$567 ,United
,,,,,,,,,,,,
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,1 stop,CDG 12:25 PM,BOS 11:30 PM,17h 5m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 3:00 PM,CDG,9:30 AM,12h 30m,1 stop,CDG 9:45 AM,BOS 10:59 PM,19h 14m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 1:00 PM,CDG,9:30 AM,14h 30m,1 stop,CDG 9:45 AM,BOS 9:22 PM,17h 37m,FlyScore: 7.1,$567 ,United
,,,,,,,,,,,,
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,1 stop,CDG 9:45 AM,BOS 5:00 PM,13h 15m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,1 stop,CDG 9:45 AM,BOS 5:00 PM,13h 15m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,1 stop,CDG 12:25 PM,BOS 11:30 PM,17h 5m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 7:02 AM,CDG,9:30 AM,20h 28m,1 stop,CDG 9:45 AM,BOS 3:55 PM,12h 10m,FlyScore: 7.2,$567 ,United
United,1 stop,BOS 7:02 AM,CDG,9:30 AM,20h 28m,1 stop,CDG 12:25 PM,BOS 6:39 PM,12h 14m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 9:40 AM,CDG,6:55 AM,15h 15m,1 stop,CDG 9:45 AM,BOS 9:22 PM,17h 37m,FlyScore: 7.0,$567 ,United
United,1 stop,BOS 10:20 AM,CDG,9:30 AM,17h 10m,1 stop,CDG 9:45 AM,BOS 7:30 PM,15h 45m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 6:00 AM,CDG,6:55 AM,18h 55m,1 stop,CDG 9:45 AM,BOS 6:00 PM,14h 15m,FlyScore: 7.1,$567 ,United
United,1 stop,BOS 8:31 AM,CDG,9:30 AM,18h 59m,1 stop,CDG 9:45 AM,BOS 6:00 PM,14h 15m,FlyScore: 7.1,$567 ,United
